Date,Comment
2026-03-21T16:28:28Z,kita tunggu pertamina diaudit oleh bpk ri
2026-03-21T16:27:57Z,banyak anak di bawah umur otaknya yg di racun
2026-03-21T16:27:03Z,kebijikan komdigi untuk menstop anak dibawah umur menurut saya pantas dan cara menstop media untuk anak dibawah umur sangat sangat membantu untuk mengurangi tindakan anak di bawah umur untuk tidak yg macam macam uplode video yg tak senonoh
2026-03-21T16:26:37Z,pak prabowo gak tanya dana desa coba cek pak dana desa yg dialokasikan m apakah sampai didesa jg m jg atau banyak potongan birokrasi yang totalnya di terima desa udah berkurang banyak coba cek pak prabowo jangan gak peduli soal dana desa cek dong pak
2026-03-21T16:25:56Z,bertanya kepada pelaku penculikkan aktivis
2026-03-21T16:25:48Z,love u mbak nana
2026-03-21T16:24:32Z,pinter gini presiden aing
2026-03-21T16:23:10Z,demokrasi indonesia demokrasi sakit alias rusak terlalu banyak partai politik yang bakal jadi calon sarang para koruptor
2026-03-21T16:22:23Z,anjay udh menit baru bahas tidur
2026-03-21T16:18:59Z,jangan mau rubah ke kendaraan listrik di beberapa daerah timur terpencil belum dapet listrik woi tolong pemerataan listrik seluruh indonesia yng belum dpet dan subsidikan listrik kalau memang indonesia penghasil batu bara no didunia seharusnya listrik di subsidikan
2026-03-21T16:17:11Z,dd diperuntukan banyak program yg sdh di buat rab nya jadi m ituh harus di bagi kebutuhan yg sdh tertera bukan untuk satu jurusan ajh pak presiden makanya kepdes serba salah kalo di fonis
2026-03-21T16:17:10Z,elah keliatan amat sih ketawa karirnya
2026-03-21T16:13:06Z,pokoknya hidup mbg
2026-03-21T16:12:54Z,negara tak pernah takuti jika terjadi perang antar bangsa tetapi negara menakuti jika negara nya sendiri tempur sesama rakyat yg hidup disatu negara itu musuh sesama penjajah negri sendiri
2026-03-21T16:12:47Z,langkah teknologi baru juga harus di dukung dengan kualitas generasi muda khususnya mahasiswa mahasiswa saat ini jadi kualitas mahasiswa kita ini perlu adanya terobosan baru yg kualitasnya hanya triak triak menghujat pemerintah yuk kita isi kepala kita dengan trobosan trobosan baru di bidang teknologi
2026-03-21T16:10:13Z,biar pangan kita cukup jika masih banyak manusia manusia yg tak pernah puas serakah rangka takmungkin merasa cukup harus percaya itu
2026-03-21T16:09:23Z,kami menunggu tindakan yang super tegar untuk presiden terhadap bupati wlaikota serta gubernur sekalipun yang bekerja tidak efisien pecat untuk mereka yang tak mau bekerja dan meninggalkan tugas yang wajib untuk kemajuan desa
2026-03-21T16:05:37Z,harga pangan melonjak
2026-03-21T16:05:23Z,ujian bagi ina adalah apakah tetap setia kepadabapak demokrasi dunia usa ina ekspor minyak ke as uea dapat dukungan penuh as menjadikan uea kaya aman makmur ingatlah pesan ini dari orang tua
2026-03-21T16:04:37Z,duh hn
2026-03-21T16:03:09Z,beliau tuh tau tujuan negara but dont know how to achive the goals dengan cara yg sesuai dengan kondisi kita kembali seharusnys memahami lapangan juga penting bukan hanya teori
2026-03-21T16:02:49Z,ngeri ngerii sedap
2026-03-21T16:02:37Z,kok gak ada yang nanya kenapa milih mentri orang partai bukan orang yg kompeten di bidang nya cuma pak purbaya dan amran sulaiman saja mentri yg ilmu dan kerjaan nya sesuai yg lain cuma untuk mengamankan koalisi aja
2026-03-21T16:02:11Z,iya gantian wapres menjawab dong
2026-03-21T15:58:33Z,tidak semua yang di bicarakan ada batasan yang di ilustrasi kan
2026-03-21T15:58:08Z,kalo dilihat dari diskusi ini indonesia seakan terasa indah banget tapi realitanya sangat berbeda ya tau sendiri lah masalah utamanya adalah koruptor merajalela tidak dibahas eksplisit di ruangan diskusi ini
2026-03-21T15:56:11Z,fasilitas umum di aceh jembatan dan lain lain sudah dibantu negara atau belum pak bantu buatkan video terupdate bantuan negara terkait hal itu pak
2026-03-21T15:49:55Z,kecuali giliran mba najwa yg lain polanya sama pertanyaan jawaban power point
2026-03-21T15:47:41Z,kosong
2026-03-21T15:46:43Z,mohon maaf pak dgn besar hati saya bilng kebaikan bapak yg dinarasikan saat ditanya kpd mbak najwa itu sama sekali belum dirasakan secara signifikan di masyarakat
2026-03-21T15:43:58Z,harusnya pak prsiden jangan bilang quot ko saya heran orang yang sudah kaya raya masih mencuri ganti aja pak ko saya heran sekolah tinggi tingi tapi hobinya nyuri alias korupsi
2026-03-21T15:42:53Z,pak prabowo pinter banget
2026-03-21T15:42:33Z,yg lain nanya nya cmn basic basic kaya lagi denger cerita dongeng anak dari bapa nya kosong ga ada isi ya ke mana gthpercuma lulusan luar negri tapi hampa bner
2026-03-21T15:42:28Z,salah satu wanita hebat yang saya kagumi setelah istri saya yaitu mba nana
2026-03-21T15:40:01Z,terima kasih mbak nana atas keberanian menanyakan hal yg tak mudah dan itu mewakili suara banyak orang termasuk saya
2026-03-21T15:38:00Z,bener pak hukum negara kita wajib bgt ditegakkan
2026-03-21T15:37:08Z,sekarang pun sudah banyak yg memilih kendaraan tipe listrik ya pak jd tanpa bensin
2026-03-21T15:36:19Z,semoga rencana bapak bs terwujud dan melahirkan banyak dokter yang bisa ikut serta membantu sesegera mungkin
2026-03-21T15:35:00Z,setuju sama bapak karena makanan akan masuk ke dalam tubuh penting bgt utk di cek dulu kandungan dr makanan tersebut beserta kualitasnya
2026-03-21T15:32:18Z,masyarakat menilai presiden dari sisi positifnya husnudzon sementara presiden menilai diri sendiri dari sisi negatifnya intropeksi kalo bisa seperti itu niscaya sejahtera jaya yang terjadi skrng masyarakat menilai presiden dri sisi negatifnya dan presiden menilai diri nya dari sisi positif terlena dan jumawa
2026-03-21T15:31:29Z,gak konsisten ya katanya mau produksi mobil yg energinya masih pake bensin abis itu katanya dalam tahu n semua kendaraan harus bertenaga listrik
2026-03-21T15:30:15Z,beda banget komenttr disini dengan komentar di channel sebeelah wkwkwkwkzerr buzzer wkwkwkwkk
2026-03-21T16:33:01Z,di channel mana bg
2026-03-21T15:27:26Z,good job mba nana mantabs
2026-03-21T15:27:10Z,keren mbak nana
2026-03-21T15:26:37Z,wo tlg dengerin suara kita tetapi kan kamu kasih jabatan sm sodara mu ah sudah lah akting aja
2026-03-21T15:26:08Z,yg lain jangan cuma ngopi coba informasikan masalah ijasah jokowi asli apa palsu
2026-03-21T15:24:32Z,hahaha terlihat labil nya orang militer ga cocok jadi kepala negara karena emosian dan kebijakannya kurang dipikir mendalam
2026-03-21T15:18:18Z,udah yappingnya
2026-03-21T15:16:07Z,harusnya begini tuh undang rocky gerung
2026-03-21T15:15:22Z,katanya efisiensi untuk icor tapi icor kita awal kok malah tinggi
2026-03-21T15:15:08Z,bbm di kalbar susah pak
2026-03-21T15:15:08Z,pangan memang salah satu kebutuhan para manusia di kehidupan pak
2026-03-21T15:14:43Z,takut banget sama wowo
2026-03-21T15:12:54Z,bangsa indonesia krisis akan quot moralitas quot kejujuran dan keiqlasan tidak ada dalam jiwa para politikus yang membentuk karakter penuh korupt dalam semua lini kehidupan
2026-03-21T15:12:49Z,dia gak bisa bilang kalau dia masuk perangkap trum
2026-03-21T15:12:41Z,saya sepemikiran dg pk prabowo
2026-03-21T15:07:38Z,katanya orang kaya raya masih mau nyuri ngaca pa
2026-03-21T15:07:15Z,allahu akbar allahu akbar allahu akbar
2026-03-21T15:06:04Z,trimakasih pak semoga indonesia semakin maju
2026-03-21T15:00:04Z,tkdn gimana
2026-03-21T14:59:53Z,kenapa pada menyoroti bahwa kalo mbak nana yang nanya prabowo keringetan kalo mbak nana kan nanya ngejar begitu
2026-03-21T14:58:30Z,mba nana istimewa dengan pertanyaannya ia telah ikut selamatkan indonesia dari kejahatan
2026-03-21T14:56:52Z,mbak nana mesti belajar lagi
2026-03-21T14:56:39Z,aku bangga sama mba nana berani demi kebenaran
2026-03-21T14:56:28Z,salah beneran dongeng cerita nostalgia
2026-03-21T14:56:01Z,mbg yg wajib distop itu pemborosan dan peluang korup
2026-03-21T14:53:32Z,sumber air a k a sumber minyak
2026-03-21T14:53:17Z,pemerintah tidak memuaskan buruk wajar dikritik semoga mau memperbaiki diri kalau tidak elit global akan memanfaatkan situasi menggulingkan anda melalui rakyat anda sendiri
2026-03-21T14:48:57Z,kegiatan untuk menaikkan popularitas dan citra pemerintah
2026-03-21T14:48:54Z,yg masalah penyiraman air keras itu loh hrs dituntaskan sesegera mungkin
2026-03-21T14:48:47Z,undang pemred tempo rocky gerung sama bem ugm dong aturan biar imbang jangan pemred doang tv netral doang
2026-03-21T14:48:20Z,omon gemoy ok gas
2026-03-21T14:46:45Z,pak prabowo inspirasi untuk generasi muda
2026-03-21T14:46:32Z,bangga sekalii punya presiden seperti pak prabowo sangat tegas dan jelas banyak yang iri banyak yang ingin jatuhkan pak prabowo karna sangat bagus dalam memimpin negara kita ini tetap maju pakk prabowo
2026-03-21T14:45:41Z,mbak nana vs the king omon omon
2026-03-21T14:44:28Z,betul ini mendongeng beneran bosen ah omon omon melulu
2026-03-21T14:43:48Z,gue paham maksudmu pak prabowo
2026-03-21T14:43:31Z,sangat sangat berwibawa sekali pak prabowo penjilat di sekeliling pak prabowo harus di saring dan diperhatikan pak bapak itu sangat bagus dan hebat dalam memimpin negara kita indonesia
2026-03-21T14:43:17Z,bpk prabowo karakternya tdk di buat beliau selalu berpikir dan spontan menjawab tdk ada ambisi keserakahan kebohongan yg di sembunyikan intinya sungguh mencintai tanah air dan rakyat bpk ada yg ingin saya sampaikan agar regulasi tdk di persulit panjang umur sehat selalu bpk prabowo
2026-03-21T14:43:04Z,besok pemilu mendatang jangan pilih calon presiden atopun wakil presiden dr partai partaitau sendiri kan klo udah jd presiden pasti politik balas budi yg hnya mengutamakan golongan nyabukan kerja atas nama rakyat
2026-03-21T14:42:16Z,harga harga mahal daya beli kurang atow hampir mandek pengangguran meningkat beli mobil aja dari india apa masih kita percaya dg omongan bapak
2026-03-21T14:41:33Z,sekola sekola tinggi tinggi di opening eh denger dialognya isinya penjilat semua kecuali najwa
2026-03-21T14:40:06Z,bangga banget lihat pak prabowo tetap tenang dan rasional ngejelasin tantangan dunia fokus beliau ke hilirisasi dan industrialisasi itu jawaban banget buat masa depan anak muda indonesia pemimpin yang beneran kerja pakai hati dan akal sehat demi rakyat maju terus pak presiden
2026-03-21T14:39:15Z,ku kira bakal keras bossmen seperti di youtubenya ku kira solusi dan narasinya bakal tajam seperti biasanya ternyata
2026-03-21T14:38:56Z,pimpinan yang hebat semoga indonesia terus maju
2026-03-21T14:38:31Z,bangga punya presiden yang tegas membela kemerdekaan palestina di forum internasional langkah beliau masuk board of peace bop dengan syarat tetap membela kemanusiaan itu bukti diplomasi kita berwibawa lanjutkan perjuangannya pak
2026-03-21T14:38:30Z,besok gatian pak gibran biar makin mantap
2026-03-21T14:37:41Z,maju teruss pak
2026-03-21T14:37:38Z,coba dong pak wapres juga dibuatin diskusi begini dengan orang hebat biar bisa membungkam para pembencinya
2026-03-21T14:37:16Z,visi hilirisasi dan industrialisasi pak prabowo emang solusi buat masa depan indonesia kita harus jadi negara produsen bukan cuma pasar dukung penuh transformasi bangsa ini biar anak muda kita dapet lapangan kerja yang berkualitas bismillah indonesia maju
2026-03-21T14:37:10Z,pas di tanya embk nana di situ pak owo bukan nya tegas malah ke emosi
2026-03-21T14:36:46Z,keren tetap dengar suara rakyat pak
2026-03-21T14:36:29Z,mba nana kamu mantep banget
2026-03-21T14:36:24Z,semangat dan visi pak prabowo untuk indonesia patut diapresiasi semoga terus konsisten membawa perubahan positif
2026-03-21T14:35:56Z,terharu pas denger cerita pak prabowo langsung gerak cepat bangun jembatan buat anak anak sekolah dan kasih beasiswa beliau bener bener menjalankan filosofi kalau gak bisa bantu banyak orang bantu satu orang sehat selalu pak presiden rakyat bersamamu
2026-03-21T14:35:13Z,mantab pakk prabowo
2026-03-21T14:35:10Z,masalah indonesia tidak ada ketegasan dari hasil pelanggaran hukum untuk para elite
2026-03-21T14:34:55Z,banyak buzzernya disini wkwkwkw
2026-03-21T14:33:32Z,garis besar nya masih tentang dikit quot antek quot asing dkit quot di biayai asing pola pikir macam apa ini
2026-03-21T14:33:28Z,suka banget sama komitmen pak presiden yang minta jajarannya jangan asal bapak senang abs beliau berani terima kritik dan bahkan nonton podcast yang nyerang beliau buat jadi bahan evaluasi pemimpin yang bener bener punya mental baja dan jujur
2026-03-21T14:32:07Z,lah cuman di tipu sama israel dan as masih mau aja
2026-03-21T14:31:52Z,pak prabowo menunjukkan komitmen yang kuat dalam membangun negeri semoga selalu diberi kesehatan dan kelancaran dalam memimpin
2026-03-21T14:31:15Z,setuju banget sama penjelasan pak prabowo soal pentingnya kemandirian pangan dan energi di tengah situasi dunia yang lagi gak menentu gini memang kita butuh pemimpin yang visioner dan paham sejarah kayak beliau semangat terus pak presiden
2026-03-21T14:30:08Z,pak presiden bnyak rakyat yg msih miskin coba uang negara dipakai utk kesejateraan rakyat bukan kesejateraan pejabat koruptor
2026-03-21T14:27:59Z,sekarang langka bbm apa solusi cepat dari pemerintah sekarang karena masalah ini menyangkut kehidupan semua rakyat
2026-03-21T14:26:23Z,part berikutnya sangat ditunggu
2026-03-21T14:25:06Z,asal bapak senang
2026-03-21T14:24:57Z,kok pertanyaan ada jawab data dilayar kyk udah di setting nih
2026-03-21T14:23:32Z,hadehh capek nontonnya terlalu pede terdengar indah tapi ga sesuai kenyataan
2026-03-21T14:23:08Z,saya yakin pak prabowo orang baik tapi saya tidak yakin dengan orang di sekelilingnya
2026-03-21T14:22:40Z,menit pertama jawaban tidur pertengahan jawaban ngelantur di akhir jawaban ngawur jawaban klo sambil mikir ga punya rencana besok juga lupa lagi tahun menjabat jangankan rakyat indonesia lebih baik tanda mau baik aja ga ada bayangkan tanda nya ga ada
2026-03-21T14:22:10Z,no
2026-03-21T14:20:44Z,iya di pilih rakyat tapi sekarang yang milih bapak pada nyesel angkat jempolnya yang pilih beliau kemarin dan sekarang menyesal
2026-03-21T14:20:07Z,rakyat indonesia sangat sabar dan pemaaf apa pun yg di lakukan legislatif yudikatif dan eksekutif rakyat indonesia memaafkan nya
2026-03-21T14:19:44Z,ingin ingin dan ingin tapi tidak ada realisasinya ya sama aja
2026-03-21T14:19:10Z,respect pemimpin yg tulus buat negara
2026-03-21T14:18:39Z,jawab mba nana aga tergesah dan aga ngegas
2026-03-21T14:17:53Z,terimakasih mbak nana
2026-03-21T14:17:47Z,kalo pesimis mending pindah negara aja boy
2026-03-21T14:14:12Z,komitmen presiden prabowo dalam menuntaskan kasus teror ini membuktikan keberpihakan negara pada nilai nilai kemanusiaan
2026-03-21T14:11:47Z,ini baru presiden waktunya berbenah birokrasi pemerintahan negeri ini dan menegakkan hukum dan mensejahterakan rakyat serta mewujudkan swasembada pangan swasembada energi dan yang lainnya merdeka
2026-03-21T14:11:22Z,semangat
2026-03-21T14:11:17Z,yg tentang mbg menit ke berapa ya
2026-03-21T14:09:48Z,budaya asal bos senang bosnya presiden adalah rakyat semoga budaya asal bos senang memang menggunakan data dan fakta yg benar teruslah selalu memperbaikin niat dan perbuatan pak presiden sehingga bos merasakan budaya abs sdh hilang
2026-03-21T14:08:23Z,judulnya prabowo menjawab tapi isinya prabowo tidak menjawab apapun
2026-03-21T14:05:49Z,pemimpin berani rakyat tenang lanjutkan pakk mantap
2026-03-21T14:02:22Z,lahh sibapak kan presidennya kenapa jadi skeptis wahh udah ga bener cukup sekali aja pak isinya omon omon semua
2026-03-21T14:01:07Z,presiden prabowo subianto menerima berbagai dukungan dan apresiasi atas kebijakan pemerintahannya baik dari dalam negeri maupun internasional
2026-03-21T14:01:04Z,seteju pak prabowo semua butuh ketegasan termasuk tentang keamanan aktivitiss
2026-03-21T14:00:28Z,prabowo terbaik
2026-03-21T13:59:41Z,jawabannya prabowo subianto lumayan to the point dan nggak muter muter jadi lebih kebayang sudut pandangnya gimana
2026-03-21T13:59:38Z,bapak quot ibu ibu kalau pak presiden prabowo lagi ngomong jngan di banyak kin di potong
2026-03-21T13:59:31Z,bapak ini minta kita bersabar karna belio masih ada thn lagi menjabat untuk memperbaiki indonesiapak wok maaf nih saya nungguin tuntutan kemaren aja belom keliatan hilalnya padahal udh bulan loh reformasi polri ur ass lah nunggu tahun keburu regenerasi borok juga
2026-03-21T13:58:26Z,kalau gibran di ikut sertakan dalam diskusi ini pasti makin seru
2026-03-21T13:58:17Z,bagusa pakk doa terbaik buat bpk dan kabinet nya
2026-03-21T13:58:13Z,konten kayak gini penting sih jadi kita bisa denger langsung jawaban dari tokohnya bukan cuma dari potongan berita aja
2026-03-21T13:57:45Z,setuju pak presiden ketegasan soal keamanan aktivis dan keberanian keluar dari bop jika tidak menguntungkan nasional adalah bentuk kedaulatan yang kita butuhkan terus berjuang untuk rakyat kecil
2026-03-21T13:56:59Z,terbukti harga kebutuhan pokok di bulan ramadhan tahun harganya terjangkau dan terkendali
2026-03-21T13:56:32Z,wow sudah nonton dari awal sampai akhir sangat menghargai upaya untuk mengangkat isu isu krusial dan memberi kesempatan untuk klarifikasi langsung sangat menarik
2026-03-21T13:55:58Z,nyimak
2026-03-21T13:54:59Z,lebih mendengarkan bisikan yg manis drpd teriakan rakyat
2026-03-21T13:54:00Z,kami berharap pak prabowo tegas dalam memilih siapa pun yg duduk menjadi wakil rakyat
2026-03-21T13:53:36Z,teruntuk geopolitik indonesia kami masyarakat kecil ini meminta indonesia keluar bop dan kami tidak percaya sedikit pun dengan donald trump karena beliau pelanggar tentang kejahatan perang yg membunuh petinggi iran kala itu tolong jgn lupa
2026-03-21T13:53:23Z,pak prabowo keren sekali semoga kedepannya semakin baik
2026-03-21T13:51:57Z,memberikan contoh mossad yg melakukan teror yg seolah olah dilakukan oleh orang palistine tp belakangan berstatement israel harus dijamin keamanannya jujur sbg rakyat bingung saya
2026-03-21T13:50:05Z,sehat selalu pak titip bangsa ini yaa semangat
2026-03-21T13:49:37Z,salut sama perjuangannya terus maju untuk indonesia
2026-03-21T13:49:05Z,kagum dengan pak presiden yang menjawab dan memberikan respon dengan tenang
2026-03-21T13:48:59Z,yang menyimak langsung bagian mba nana
2026-03-21T13:48:39Z,undang benix lah
2026-03-21T13:48:02Z,sukses selalu untuk pak presiden ri
2026-03-21T13:47:24Z,kyk nya ada yg kurang dehh
2026-03-21T13:47:21Z,salut dengan ri yang menerima kritik pertanyaan dan menjawabnya dengan tenang
2026-03-21T13:47:06Z,semoga semua janji pengusutan benar benar terealisasi kami percaya dengan kepemimpinan presiden
2026-03-21T13:46:31Z,rakyat butuh pemimpin yang berani seperti ini dukungan penuh selalu
2026-03-21T13:46:21Z,presiden omon omon
2026-03-21T13:45:40Z,pak presiden pasti bisa lebih bijaksana ketika menunjuk seseorang yg duduk di kursi pemerintahan
2026-03-21T13:44:05Z,ngisin ngisini
2026-03-21T13:43:38Z,antara ucapan dan kenyataan betolak belakang nyatanya pangan masyarakat tetap tinggi dunia pendidikan maha
2026-03-21T13:43:34Z,subsidi mobil listrik dan motor listrik batubara yg membuat listrik indonesia dari indonesia sendiri daripada subsidi bbm yg dari negara arab dan malaysia yang sudah semakin mahal dan memberatkan apbn negara
2026-03-21T13:43:07Z,akan kah indonesia ini bisa bertahan sampai
2026-03-21T13:42:33Z,saya salah satu yg memilih pak prabowo pilres kemarin saya yakin pak prabowo ingin indonesia menjadi negara yang maju dan makmur dan saya harap itu benar aamiinn ya rab
2026-03-21T13:41:26Z,pak prabowo kami yakin bapak bijaksana dalam memilih pejabat dan jajaran yg memanh lebih capable
